Midyaliz Movellan Curcio
Anelida Ponga Cerrajeria
Valiet Olalde Mobilla
Emiliano Lambriabe Barril
Marjorie Soveron Rascuro
Ruk Paez Feo
Einat Septien Ungo
Domingo Balanza Mendecute
Jamie Persol Vizcarreto
Mía Ocouto Barcenilla
Nolasco Villaelrriego Seracoyz
Marla Enao Loyas
Madai Zaballos Fabeiro
Policarpo Tijera Bermudo
Ismucané Gaiztarro Queto
Rebeca Romani Fortes
Damian Legaspe Vinas
Ruperto Bada Riaño
Aracely Ramirez Lasalde
Amali Ontova Buelva
Leander Ramin Posadillo
Gumersindo Aberasturi Asturianos
Damir Estenaga Ventura
Etna Parra Tezano
Frida Cal Campillo
Evarista Salero Amigo
Jahzeel Aedo Castroverde
Montserrat Cuartas Torron
Yolanda Iravedra Lariz
Heliodoro Estefania Lobato
Otilia Naveira Bartolome
Stella Domaquia Cubria
Timoteo Reneros Urquiza
Alvaro Arrateguibel Monsagrati
Ismucané Vara Piñera
Tiburcio Bebias Cepeda
Efrén Flecha Ilarraza
Yerlan Zamudio Arrateguibel
Alec Urrechua Campelo
Engracia Pelaz Ovies
José Longar Mejina
Esperanza Berganza Quintanadueñas
Yadira Lezama Tene
Kerim Carcedo Queto
Henar Rocha Amaya
Raúl Taracena Guiza
Flor Barragan Abello
Abril Zabaleta Balpuesta
Catalina Bedoya Udobro
Desideria Lizaur Moñiz
Renata Braña Torcida
Camelia Aleson Mejia
Vidalia Buisan Anduaga
Luciano Cercalde Albizuri
Inerto Baul Pecha
Ivania Monzon Valdes
Esther Grado Pineda
Orsini Agulla Salbago
Yamileth Ceniceros Soria
Juana Baraona Ceballos
Clover Mandojana Montiano
Muriel Blazquez Tobia
Duidina Norato Moya
Nicolette Campoo Breton
Nicanor Carretero Irastorza
Nara Pumarejo Verano
Shosy Regueiro Redondas
Ariana Vandoma Taracena
Joaquín Giumill Trana
Rolando Murias Calderona
Libis Valtierra Orol
Rodolfo Pedron Nieves
Mercedes Ibaizabal Achaque
Matías Lezcano Alguea
Grace Villafafila Hoyo
Lutgandy Cuerno Machicao
Ernesto Roda Figueruela
Kimberly Carcamo Corada
Crisel Vara Gutarrate
Doménica Saz Boiso
Brenda Hernandez Caborredondo
Said Figueira Mazuca
Alberto Heyros Toledo
Leida Cotrofe Haza
Marbella Chaves Rubina
Polsia Ilardia Fuerte
Braulia Oviedo Colado
Amayrani Flames Grandoso
Yosvani Llago Juan
Janina Barbaza Güemes
Alexandra Prados Pernia
Inerto Cardiel Mascareñas
Henar Butron Cean
Jorge Valdaliso Irabien
Eugenio Failde Mones
Yamily Villagra Broz
Teófilo Bermejo Cendan
Yuniel Lizarazu Aledo
Luciano Poblaciàn Somellero
Lucio Arbe Sena
Iyamiris Gamez Tarano
Jiri Basterra Poso
Aitor Perez Arizabalo
Osdel Garizabal Artigue
Dayanna Ojeda Andonegui
Inmaculada Tobar Landaburu
Estefanía Bao Palomar
Normando Gamarra Laguno
Rolando Apellaniz Hualde
Lizmara Masas Serantes
Karen Leceta Altamirano
Irina Sara Oñaederra
Thelma Ahelle Abadía
Irmin Valencia Ayasti
Zahira Graci Septien
Francelia Fominaya Berlanga
Leslie Santisteban Iglesias
Leoncio Lamota Chavarria
Ivania Faubelo Vicente
Florentino Garzona Ratra
Nickee Quintanadueñas Uriszar
Mery Beneitez Saavedra
Adriel Moyano Segura
Heverh Lortia Ugalde
Rigel Pardabu Mendizabal
Donato Palomeque Lombas
Encarna Chandeiro Maja
Asunción Arregui Mazorra
Horacio Santa Lobato
Peggy Monje Toribia
Pompeyo Barbari Moyuelo
Yomar Beteta Bailina
Isael Eguilaz Torron
Eric Sabugal Giron
Ramón Charro Yarritu
Roder Palma Espinosa
Jean Bravain Abajas
Silma Mascareñas Mazarredo
Ximena Pellicer Borroel
Santino Yañez Archimbaud
Tomás Quejana Cerecedo
Wilson Canillas Traspuesto
Zarina Barroiz Autran
Desideria Aspiazu Zulueta
Verónica Bazan Arroyuelo
Villulfo Albaratay Oporto
Susana Folgueras Aldazabal
Adelkis Mauleon Gustros
Mayra Avendaño Hoyuela
Zylo Brasa Carrozal
Miroslava Balsera Villahoz
Roder Ferreras Subiza
Oliver Muela Graña
Edilberto Menocal Asturias
Yalemni Vime Calzado
Gilda Berraondo Ferreras
Keidy Cismado Ayensa
Encarna Parga Senabres
Edson Oñate Sirgo
Dolores Lebrato Cuezba
Octavio Lloredo Belarrinaga
Eros Quintano Cid
Lutgandy Ceballos Nurueña
Chert Santa Lloves
Víctor Castañondo Bares
Valerie Ciscal Ojesto
Diego Sepulveda Zurita
Lila Vardeci Cernadas
Maribel Ponce Arco
Adelkis Garin Centenales
Didier Pallar Busvidad
Gladys Villagarcia Cernadas
Zahid Coro Zaitegui
Herberth Olea Salmeron
Enrique España Guardo
Malinatzin Galli Llorengoz
Teófilo Pelaz Domingo
Rosauro Lecuona Larrea
Queralt Unceta Leyte
Julio Porlier Eraso
Candela Cobo Neila
Oier Lemus Millares
Perla Acereda Constante
Emerson Buendia Alvaredo
Teodora Sandines Abouza
Casilda San Rodero
Maydel Caravantes Quincoces
Pedro Belorado Alcain
Jesús Abajas Feliu
Lara Grande Sotomayor
Zahid Guijano Solana
Oralis Buitron Oromi
Lenier Alesanco Olalla
Frida Sainz Gaona
Esperanza Cossa Hormaza
Zahiled Vana Ferreira
Liberata Tezano Martinena
Joaquín Rioseco Aroztegui
Juanmy Sandino Aya
Sara Noceda Villaren
Jaquelín Padrones Ceraso
Lizbeth Bazan Rengifo
Yesenia Castro Lalo
Digna Alcantara Torrecilla
Tessa Campelo Villaboa
Marina Colsa Aceves
Trinidad Sesse Lavin
Dionisio Magaña Carrasquedo
Emerson Pamo Sagrario
Yasnin Cotrofe Rendain
Ingrid Cañas Villodas
Dairon Anel Lagrana
Silvana Zurita Cuezba
Anunciación Entrala Omaña
Renzo Muela Ares
Marina Fonte Alcedo
Demetrio Ibarlucea Telena
Sabine Arindez Adan
Ana Mazmela Pallar
Abian Montoya Bargas
Eladio Velazquez Güell
Pantaleón Camba Salgado
Aaron Umbria Bullon
Anunciación Grados Valladares
Lara Rico Roza
Epifanio Valpuesta Chavarre
Ilse Folgueras Rollan
Nuria Barrionuevo Luga
Consuelo Barricat Ariztimuño
Ramiro Serna Sesse
Héctor Chico Cardon
Elidia Faria Incera
Xulio Eiriz Ubilla
Florencia Cervilla Cano
Andonis Brañas Jamilio
Erick Castañondo Vicente
Neudis Cuezba Cosmen
Sandra Llerena Legarda
Edith Revenga Miño
Verania Oceta Arcos
Jovita Sotomayor Muro
Nicomedes Villegas Olloqui
Angelina Cantolla Miera
Divina Tobar Hernando
Teresa Labora Guardamiño
